ContentTypeName,Description,Parent,Group,ReadOnly,UpdateChildContentTypes,SiteColumns
NMWF_AudioNeed,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,"AudioNeed,AudioNeedPointValue"
NMWF_CrewRequest,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,"Requester,AddressNotes,Approver,AssignmentSlug,AttachEditRequestID,AudioNeed,BureauLocation,Camera,Audio,CCEmail,CellPhone,Country,CrewAddress,CrewCity,CrewRequestID,CrewState,CrewStatus,DaysShoot,DeskNumber,EndTime,EstimatedCost,GearCost,IsThereAnOnsiteProducer,LabourCost,MeetTime,ResourceDescription,ResourceReason,Producer,ProducerCellNumber,ProducerDeskNumber,ProducerSameAsRequestor,ProductionType,RollTime,ShootDescription,ShootStatus,SpecialConditions,SpecialGear,StoryName,TimeZone,Utilities,Zip,EndDate,StartDate,TransmissionType,DayZone,TravelExpenses,SuggestedResources,SelectedResources,OverrideApproval,PrimaryCameraType,MediaFormat,VideoSpecs,CrewDeskNotes,CrewDeskFile,RevisionNotes,RequestStatus,CrewType,requestorKey,producerKey,SeniorProducerKey,CCEmailKey,resourcesKey,Approval"
NMWF_CRT_ShowUnit,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,"ShowUnitID,RequestID,AssignedBudgetCode"
NMWF_CRT_Talent,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,"CrewRequestID,TalentID"
NMWF_FrequentLocation,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,"FrequentLocationName,FrequentLocationDescription,AddressLine1,AddressNotes,Country,IsBureau,Zip,CrewState,CrewCity"
NMWF_MWFDocument,NBCU Crew Request Content Type,Document,NMWF_ContentType,FALSE,TRUE,"AssociatedRequestID,RequestType"
NMWF_ProductionType,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,"ProductionType,ProductionTypePointValue"
NMWF_ShowUnit,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,"ShowUnitTitle,DefaultBudgetCode,Business"
NMWF_SpecialCondition,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,"SpecialConditionPointValue,SpecialConditions"
NMWF_Story,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,Story
NMWF_Talent,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,"TalentTypeID,TalentFirstName,TalentLastName"
NMWF_TalentType,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,"TalentType,TalentTypePointValue"
NMWF_TransmissionType,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,"TransmissionType,TransmissionTypePointValue"
NMWF_ShootDescription,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,"MeetTime,RequestID,ShootDescription"
NMWF_CRT_Resource,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,"CrewRequestID,ResourceEmail,ResourceEmployeeType,ResourcePhone,Resource,ResourceRole"
NMWF_CRT_RevisionNotes,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,"CrewRequestID,RevisedBy,RevisedComments,RevicedDate,RevisedNumber"
NMWF_EditRequest,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,"RequestorName,RequestorContact,RequestorEmail,ProducerName,SeniorProducer,Slug,AirDate,AirDateTBD,LocationofEdit,ShowUnit,BudgetCode,Correspondent,IsCraftEditorNeeded,IsProducerEditCompleted,PleceMinutes,PleceSeconds,PleceTBD,PleceVersions,CraftEditDays,CraftEditHours,CraftEditMinutes,EditStartDate,RequestedEditSection,IsCrashEdit,Isrecut,IsFieldEditing,IsCraftEditBrollTeasesVosSOTS,AdditionalRequirements,CraftEditComments,PESpot,PERoughCut,PEWebPiece,PEBrollTeases,PESizzleReel,PEPromos,PEAwards,PEHours,PEMinutes,PESeconds,PETBD,PEEstProducerDays,PEEstProducerHours,PEEstProducerMinutes,EditStatus,EditType,Network,SFPEOpenPackage,SFPEVOSOT,SFPEHowMany,SFPEFixes,SFPEWebEdit,SFEEOpenPackage,SFEEVOSOT,SFEEFixes,SFEEWebEdit,Room,SFComments,Business,AMColdOpen,AMRevisionToBRollsVOSOT,AMShowFixes,AMUpdates,AMTeasesOpenBody,AMCrashPieces,AMPreTapes,AMRevisionsToSpotsTracks,AMNewBRollVOSOT,AMQuickTurnaroundCrash,AMMusic,AMGraphicStills,AMColorCorrect,AMAudioCorrect,AMEffects,ERCEBrollHowMany,ERCREditedBy,AEAdditionalComments,SFPEOpenPackageHowMany,SFPEVOSOTHowMany,SFPEFixesHowMany,SFPEWebEditHowMany,SFEEOpenPackageHowMany,SFEEVOSOTHowMany,SFEEFixesHowMany,SFEEWebEditHowMany,AMEffects,AMOther,AMAllOfTheAbove,EditRequestID,AROtherText,StoryName,AttachCrewRequestID,fileIngestID,SourceMaterial,SourceMaterialOther,PECEditShiftRooms,PECEditShiftDesktops,PECFinalEditors,requestorKey,producerKey,SeniorProducerKey,AssistantProducerKey,
AMOther,AMAdditionalComments,AssistantProducer,AssistantProducerAsRequestor,IsAssistantProducerEditRequired,CraftEditWeeks,NumberOfEditors,DesktopEditShifts,EsitmatedMove,DateOfFirstScreening,LFComments,AEIngest,AERadioCut,AEAdditionalElements,AEOther,AEAssignmentType,AEAssignmentHours,AEAssignmentMinutes,AEHours,AEMinutes,AETBD,AEEditorDays,AEEditorHours,AEDateNeeded,IsRequestorProducer,FFFulfillerComments,PECAirDate,PECActualLengthMin,PECActualLengthSec,PECAssignedToDate,PECAssignedToHr,PECAssignedToSec,PECFulfillerComments,PECRoughCut,PECPiece,PECPostEdition,PECBrolls,PECPostEditComment,ERRequestStatus"
NMWF_Room,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,Facilities
NMWF_Editor,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,"EditorAssigned,Room,AssignedFromDate,AssignedFromTime,AssignedFromSec,AssignedToDate,AssignedToTime,AssignedToSec,EditorRequestID"
NMWF_FileIngest,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,"RequestorName,RequestorContact,RequestorEmail,IsRequestorProducer,ProducerName,SeniorProducer,Slug,AirDate,AirDateTBD,DateNeededBy,DateNeededByASAP,Workgroup,Correspondent,AttachEditRequestID,CrewRequestID,CameraType,CameraTypeOther,ContentDescription,CrewShooter,AlternateEmails,IsExternalHardDrive,IngestStatus,FileIngestID,fiComments,MaterialWorkgroup,AssistantEditor,FIStatus,BinName,NextToBinName,FileFormat,FolderFormat,Others,GigSize,FolderFormatOther,ShowUnit,BudgetCode,SeniorProducerKey,producerKey,RequestorKey"
NMWF_AdditionalDevices,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,"DeviceType,Quantity,fileIngestID"
NMWF_AdditionalEditor,NBCU Crew Request Content Type,Item,NMWF_ContentType,FALSE,TRUE,"AdditionalEditors,AsstAssigned,AssignedFromDate,AssignedToDate,EditorRequestID,AssignedFromTime,AssignedFromSec,AssignedToTime,AssignedToSec"
