Title,TalentTypeID,TalentFirstName,TalentLastName
None on Site,-,None on Site,None on Site
*TBD*,-,*TBD*,*TBD*
Multiple Talent,Anchor (Co),Multiple Talent,Multiple Talent
Guest,Correspondent,Guest,Guest
---,,---,---
"Alexander, Peter",Correspondent,Alexander,Peter
"Allen, Ron",Correspondent,Allen,Ron
"Almaguer, Miguel",Correspondent,Almaguer,Miguel
"Arouzi, Ali",Correspondent,Arouzi,Ali
"Brokaw, Tom",Anchor (Lead),Brokaw,Tom
"Canning, Andrea",Correspondent,Canning,Andrea
"Cannon, Nick",Guest/Contributor,Cannon,Nick
"Carmon, Irin",Guest/Contributor,Carmon,Irin
"Clavanga, Claudio",Correspondent,Clavanga,Claudio
"Cobiella, Kelly",Correspondent,Cobiella,Kelly
"Costello, Tom",Correspondent,Costello,Tom
"Dahlgren, Kristen",Correspondent,Dahlgren,Kristen
"Dallof, Sarah",Correspondent,Dallof,Sarah
"Daly, Carson",Anchor (Co),Daly,Carson
"Dreyer, Dylan",Anchor (Co),Dreyer,Dylan
"Ellis, Rehema",Correspondent,Ellis,Rehema
"Engel, Richard",Correspondent,Engel,Richard
"Frumin, Aliyah",Correspondent,Frumin,Aliyah
"Fryer, Joe",Correspondent,Fryer,Joe
"Geist, Willie",Anchor (Co),"Geist,",Willie
"Gifford, Kathy Lee",Anchor (Co),Gifford,Kathy Lee
"Gosk, Stephanie",Correspondent,Gosk,Stephanie
"Guthrie, Savannah",Anchor (Lead),Guthrie,Savannah
"Gutierrez, Gabe",Correspondent,Gutierrez,Gabe
"Hager, Jenna Bush",Anchor (Co),Hager,Jenna Bush
"Hall, Tamron",Anchor (Co),Hall,Tamron
"Harris, T",Correspondent,Harris,T
"Hill, Erica",Anchor (Co),Hill,Erica
"Holt, Lester",Anchor (Lead),Holt,Lester
"Hunt, Kasie",Correspondent,Hunt,Kasie
"Jackson, Hallie",Correspondent,Jackson,Hallie
"Jansing, Chris",Correspondent,Jansing,Chris
"Jones, Aphrodite",Correspondent,Jones,Aphrodite
"Jones, Sheinelle",Anchor (Co),Jones,Sheinelle
"Kotb, Hoda",Anchor (Co),Kotb,Hoda
"Lauer, Matt",Anchor (Lead),Lauer,Matt
"Lee, Trymaine",Correspondent,Lee,Trymaine
"Lui, Richard",Correspondent,Lui,Richard
"Mankiewicz, Josh",Correspondent,Mankiewicz,Josh
"Margolin, Emma",Correspondent,Margolin,Emma
"Martin, J",Correspondent,Martin,J
"McCoy, Blake",Correspondent,McCoy,Blake
"Melvin, Craig",Anchor (Co),Melvin,Craig
"Miklaszewski, Jim",Correspondent,Miklaszewski,Jim
"Mitchell, Andrea",Anchor (Co),Mitchell,Andrea
"Mohyeldin, Ayman",Correspondent,Mohyeldin,Ayman
"Morales, Natalie",Anchor (Co),Morales,Natalie
"Morrison, K",Anchor (Co),Morrison,K
"Mott, Ron",Correspondent,Mott,Ron
"Murphy, Dennis",Correspondent,Murphy,Dennis
"Neely, Bill",Correspondent,Neely,Bill
"O'Donnell, Kelly",Correspondent,O'Donnell,Kelly
"Patterson, Steve",Correspondent,Patterson,Steve
"Pollone, Chris",Correspondent,Pollone,Chris
"Radford, Morgan",Correspondent,Radford,Morgan
"Rascon, Jacob",Correspondent,Rascon,Jacob
"Reiss, Adam",Correspondent,Reiss,Adam
"Roberts, Thomas",Anchor (Co),Roberts,Thomas
"Roker, Al",Anchor (Lead),Roker,Al
"Rossen, Jeff",Correspondent,Rossen,Jeff
"Russert, Luke",Correspondent,Russert,Luke
"Sakuma, Amanda",Correspondent,Sakuma,Amanda
"Sanders, Kerry",Correspondent,Sanders,Kerry
"Sarlin, Benjy",Correspondent,Sarlin,Benjy
"Schwartz, Gadi",Correspondent,Schwartz,Gadi
"Seitz-Wald, Adam",Correspondent,Seitz-Wald,Adam
"Shamlian, Janet",Correspondent,Shamlian,Janet
"Sharpton, Al",Anchor (Co),Sharpton,Al
"Shriver, M",Correspondent,Shriver,M
"Simmons, K",Correspondent,Simmons,K
"Smith, Harry",Correspondent,Smith,Harry
"Snow, Kate",Correspondent,Snow,Kate
"Soboroff, Jacob",Correspondent,Soboroff,Jacob
"Sterns, Olivia",Correspondent,Sterns,Olivia
"Thompson, Anne",Correspondent,Thompson,Anne
"Tibbles, Kevin",Correspondent,Tibbles,Kevin
"Timm, Jane",Correspondent,Timm,Jane
"Todd, Chuck",Anchor (Lead),Todd,Chuck
"Tur, Katy",Correspondent,Tur,Katy
"Vieira, Meredith",Anchor (Co),Vieira,Meredith
"Welker, Kristen",Correspondent,Welker,Kristen
"Williams, Ian",Correspondent,Williams,Ian
"Williams, Pete",Correspondent,Williams,Pete
